,concept,overall,last_quarter,first_quarter,subject,overall_percentile,last_quarter_percentile,last_quarter_difference
46,hg34,0.8095238095238095,0.6,0.9,gemma_2b,84.0,4.0,-0.1777777777777778
47,hg35,0.8611111111111112,0.8888888888888888,0.7777777777777778,gemma_2b,60.8695652173913,34.78260869565217,-0.05555555555555558
48,hg36,0.7380952380952381,1.0,0.3,gemma_2b,85.71428571428571,100.0,0.368421052631579
49,hg37,0.6585365853658537,0.6,0.6,gemma_2b,35.0,20.0,-0.2611111111111112
50,hg38,0.7115384615384616,0.6153846153846154,0.7692307692307693,gemma_2b,84.0,56.0,0.06993006993007
51,hg39,0.75,0.8,0.8,gemma_2b,30.0,30.0,-0.09999999999999998
52,hg40,0.6521739130434783,0.6363636363636364,0.5454545454545454,gemma_2b,52.17391304347826,21.73913043478261,-0.11363636363636365
53,hg41,0.6739130434782609,0.5454545454545454,0.7272727272727273,gemma_2b,41.66666666666667,8.333333333333334,-0.32296650717703357
54,hg42,0.8076923076923077,0.9230769230769231,0.8461538461538461,gemma_2b,59.09090909090909,86.36363636363637,0.06593406593406603
55,hg43,0.8666666666666667,0.8181818181818182,0.8181818181818182,gemma_2b,54.54545454545455,31.81818181818182,-0.015151515151515138
56,hg44,0.7727272727272727,0.9090909090909091,0.6363636363636364,gemma_2b,96.0,92.0,0.25909090909090904
57,hg45,0.64,0.6666666666666666,0.75,gemma_2b,39.130434782608695,52.17391304347826,0.01449275362318836
58,hg46,0.7647058823529411,0.8333333333333334,0.75,gemma_2b,7.6923076923076925,53.84615384615385,0.015151515151515138
59,hg47,0.7551020408163265,0.75,0.5833333333333334,gemma_2b,82.6086956521739,47.826086956521735,-0.011904761904761862
60,hg48,0.7692307692307693,0.7777777777777778,0.6666666666666666,gemma_2b,58.333333333333336,37.5,-0.07516339869281041
61,hg49,0.6956521739130435,0.7272727272727273,0.8181818181818182,gemma_2b,68.18181818181819,59.09090909090909,0.12200956937799046
62,hg50,0.8297872340425532,0.9090909090909091,0.6363636363636364,gemma_2b,45.833333333333336,45.833333333333336,-0.06459330143540665
63,hg51,0.8333333333333334,0.8333333333333334,0.75,gemma_2b,17.391304347826086,26.08695652173913,-0.06666666666666665
64,hg52,0.9818181818181818,1.0,0.9230769230769231,gemma_2b,86.36363636363637,100.00000000000001,0.050000000000000044
65,hg53,0.9142857142857143,0.875,0.875,gemma_2b,86.95652173913044,8.695652173913043,-0.125
66,hg54,0.94,0.9166666666666666,0.9166666666666666,gemma_2b,66.66666666666667,12.5,-0.08333333333333337
67,hg55,0.7872340425531915,0.8181818181818182,0.8181818181818182,gemma_2b,29.166666666666668,29.166666666666668,-0.10681818181818181
68,hg56,0.7272727272727273,0.6363636363636364,0.7272727272727273,gemma_2b,60.0,32.0,-0.08585858585858586
69,hg57,0.7333333333333333,0.7272727272727273,0.8181818181818182,gemma_2b,87.5,58.333333333333336,0.0430622009569378
70,hg58,0.5909090909090909,0.5454545454545454,0.6363636363636364,gemma_2b,34.78260869565217,17.391304347826086,-0.19138755980861244
71,hg59,0.5581395348837209,0.5,0.4,gemma_2b,22.72727272727273,4.545454545454546,-0.5
72,hg60,0.5952380952380952,0.7,0.5,gemma_2b,29.166666666666668,41.66666666666667,-0.27368421052631575
73,hg61,0.7142857142857143,0.9,0.6,gemma_2b,45.45454545454546,63.63636363636364,0.2529411764705882
74,hg62,0.7608695652173914,0.7272727272727273,0.6363636363636364,gemma_2b,18.181818181818183,9.090909090909092,-0.17272727272727273
75,hg63,0.5306122448979592,0.5,0.75,gemma_2b,24.0,20.0,-0.5
76,hg64,0.66,0.75,0.5833333333333334,gemma_2b,47.61904761904762,47.61904761904762,-0.011904761904761862
77,hg65,0.8723404255319149,0.8181818181818182,0.8181818181818182,gemma_2b,57.14285714285714,9.523809523809524,-0.07070707070707061
78,hg66,0.7058823529411765,0.625,0.625,gemma_2b,60.8695652173913,47.826086956521735,-0.022058823529411797
79,hg67,0.5681818181818182,0.36363636363636365,0.36363636363636365,gemma_2b,18.181818181818183,4.545454545454546,-0.2863636363636364
80,hg68,0.5238095238095238,0.5,0.4,gemma_2b,32.0,40.0,-0.050000000000000044
81,hg69,0.7619047619047619,0.9,0.8,gemma_2b,12.5,20.833333333333336,-0.09999999999999998
82,hg70,0.5581395348837209,0.5,0.4,gemma_2b,22.72727272727273,18.181818181818183,-0.16666666666666663
83,hg71,0.9318181818181818,1.0,1.0,gemma_2b,95.23809523809524,100.0,0.050000000000000044
84,hg72,0.7555555555555555,0.5454545454545454,0.7272727272727273,gemma_2b,78.26086956521739,8.695652173913043,-0.20454545454545459
85,hg73,0.6666666666666666,0.6363636363636364,0.7272727272727273,gemma_2b,57.14285714285714,42.857142857142854,-0.04784688995215314
86,hg74,0.543859649122807,0.5,0.35714285714285715,gemma_2b,43.47826086956522,17.391304347826086,-0.16666666666666663
87,hg75,0.6744186046511628,0.7,0.4,gemma_2b,64.0,56.0,0.015789473684210464
88,hg76,0.7608695652173914,1.0,0.36363636363636365,gemma_2b,95.45454545454547,100.00000000000001,0.42105263157894735
89,hg77,0.7659574468085106,0.6363636363636364,0.8181818181818182,gemma_2b,9.090909090909092,4.545454545454546,-0.36363636363636365
90,hg78,0.8620689655172413,0.7857142857142857,0.8571428571428571,gemma_2b,34.78260869565217,17.391304347826086,-0.2142857142857143
91,hg79,0.5957446808510638,0.7272727272727273,0.2727272727272727,gemma_2b,0.0,4.761904761904762,-0.2727272727272727
